NOWL/0/Outbound/1/MTWRF
Market St & Buchanan St,Market St & Buchanan St,87845,89645,91445,93245,95045,96845,98645,100445,102245,104045,105905,107765,
Church St & Duboce Ave,Church St & Duboce Ave,87960,89760,91560,93360,95160,96960,98760,100560,102360,104160,106020,107880,
Hermann St & Fillmore St,Hermann St & Fillmore St,87984,89784,91584,93384,95184,96984,98784,100584,102384,104184,106044,107904,
Haight St & Fillmore St,Haight St & Fillmore St,88020,89820,91620,93420,95220,97020,98820,100620,102420,104220,106080,107940,
Haight St & Pierce St,Haight St & Pierce St,88066,89866,91666,93466,95266,97066,98866,100666,102466,104266,106126,107986,
Haight St & Divisadero St,Haight St & Divisadero St,88113,89913,91713,93513,95313,97113,98913,100713,102513,104313,106173,108033,
Haight St & Baker St,Haight St & Baker St,88160,89960,91760,93560,95360,97160,98960,100760,102560,104360,106220,108080,
Haight St & Masonic Ave,Haight St & Masonic Ave,88228,90028,91828,93628,95428,97228,99028,100828,102628,104428,106288,108148,
Haight St & Clayton St,Haight St & Clayton St,88270,90070,91870,93670,95470,97270,99070,100870,102670,104470,106330,108190,
Cole St & Haight St,Cole St & Haight St,88304,90104,91904,93704,95504,97304,99104,100904,102704,104504,106364,108224,
Cole St & Frederick St,Cole St & Frederick St,88352,90152,91952,93752,95552,97352,99152,100952,102752,104552,106412,108272,
Carl St & Cole St,Carl St & Cole St,88374,90174,91974,93774,95574,97374,99174,100974,102774,104574,106434,108294,
Carl St & Stanyan St,Carl St & Stanyan St,88408,90208,92008,93808,95608,97408,99208,101008,102808,104608,106468,108328,
Carl St & Hillway Ave,Carl St & Hillway Ave,88464,90264,92064,93864,95664,97464,99264,101064,102864,104664,106524,108384,
Irving St & 2nd Ave,Irving St & 2nd Ave,88500,90300,92100,93900,95700,97500,99300,101100,102900,104700,106560,108420,
Irving St & 6th Ave,Irving St & 6th Ave,88561,90361,92161,93961,95761,97561,99361,101161,102961,104761,106621,108481,
9th Ave & Irving St,9th Ave & Irving St,88612,90412,92212,94012,95812,97612,99412,101212,103012,104812,106672,108532,
Judah St & 9th Ave,Judah St & 9th Ave,88649,90449,92249,94049,95849,97649,99449,101249,103049,104849,106709,108569,
Judah St & 12th Ave,Judah St & 12th Ave,88686,90486,92286,94086,95886,97686,99486,101286,103086,104886,106746,108606,
Judah St & Funston Ave,Judah St & Funston Ave,88700,90500,92300,94100,95900,97700,99500,101300,103100,104900,106760,108620,
Judah St & 16th Ave,Judah St & 16th Ave,88746,90546,92346,94146,95946,97746,99546,101346,103146,104946,106806,108666,
Judah St & 19th Ave,Judah St & 19th Ave,88800,90600,92400,94200,96000,97800,99600,101400,103200,105000,106860,108720,
